NAME,CITY,Full Address,latitude,longitude,COMPLETION,Meters,Feet,FLOORS,MATERIAL,FUNCTION
Burj Khalifa,Dubai,Burj Khalifa Dubai ,25.197197,55.2743764,2010,828 m,"2,717 ft",163,steel/concrete,office / residential / hotel
Shanghai Tower,Shanghai,Shanghai Tower Shanghai ,31.233518,121.505618,2015,632 m,"2,073 ft",128,composite,hotel / office
Makkah Royal Clock Tower,Mecca,Makkah Royal Clock Tower Mecca ,21.4186828,39.8252756,2012,601 m,"1,972 ft",120,steel/concrete,other / hotel
Ping An Finance Center,Shenzhen,Ping An Finance Center Shenzhen ,22.533096,114.055865,2017,599.1 m,"1,965 ft",115,composite,office
Lotte World Tower,Seoul,Lotte World Tower Seoul ,37.5124705,127.1023832,2017,554.5 m,"1,819 ft",123,composite,hotel / residential / office / retail
One World Trade Center,New York City,One World Trade Center New York City ,40.7127431,-74.0133795,2014,541.3 m,"1,776 ft",94,composite,office
Guangzhou CTF Finance Centre,Guangzhou,Guangzhou CTF Finance Centre Guangzhou ,23.1175997,113.3259267,2016,530 m,"1,739 ft",111,composite,hotel / residential / office
Tianjin CTF Finance Centre,Tianjin,Tianjin CTF Finance Centre Tianjin ,39.021667,117.698056,2019,530 m,"1,739 ft",97,composite,hotel / serviced apartments / office
CITIC Tower,Beijing,CITIC Tower Beijing ,39.930818,116.4359296,2018,527.7 m,"1,731 ft",109,composite,office
TAIPEI 101,Taipei,TAIPEI 101 Taipei ,25.0336752,121.5648831,2004,508 m,"1,667 ft",101,composite,office
Shanghai World Financial Center,Shanghai,Shanghai World Financial Center Shanghai ,31.2342797,121.5079157,2008,492 m,"1,614 ft",101,composite,hotel / office
International Commerce Centre,Hong Kong,International Commerce Centre Hong Kong ,22.3034032,114.1601907,2010,484 m,"1,588 ft",108,composite,hotel / office
Central Park Tower,New York City,Central Park Tower New York City ,40.7661169,-73.980933,2020,472.4 m,"1,550 ft",98,concrete,residential
Lakhta Center,St. Petersburg,Lakhta Center St. Petersburg ,59.9870885,30.1777433,2019,462 m,"1,516 ft",87,composite,office
Vincom Landmark 81,Ho Chi Minh City,Vincom Landmark 81 Ho Chi Minh City ,10.7946436,106.7221662,2018,461.2 m,"1,513 ft",81,composite,hotel / residential
Changsha IFS Tower T1,Changsha,Changsha IFS Tower T1 Changsha ,28.191892,112.97693,2018,452.1 m,"1,483 ft",94,composite,hotel / office
Petronas Twin Tower 1,Kuala Lumpur,Petronas Twin Tower 1 Kuala Lumpur ,3.1579603,101.7117668,1998,451.9 m,"1,483 ft",88,composite,office
Petronas Twin Tower 2,Kuala Lumpur,Petronas Twin Tower 2 Kuala Lumpur ,3.1579603,101.7117668,1998,451.9 m,"1,483 ft",88,composite,office
Suzhou IFS,Suzhou,Suzhou IFS Suzhou ,31.3222031,120.7171222,2019,450 m,"1,476 ft",95,composite,hotel / office / serviced apartments
Zifeng Tower,Nanjing,Zifeng Tower Nanjing ,32.062472,118.778056,2010,450 m,"1,476 ft",66,composite,hotel / office
The Exchange 106,Kuala Lumpur,The Exchange 106 Kuala Lumpur ,3.1418361,101.7186957,2019,445.5 m,"1,462 ft",95,composite,office
Wuhan Center Tower,Wuhan,Wuhan Center Tower Wuhan ,30.580437,114.268548,2019,443.1 m,"1,454 ft",88,composite,hotel / residential / office
Willis Tower,Chicago,Willis Tower Chicago ,41.8788764,-87.6359149,1974,442.1 m,"1,451 ft",108,steel,office
KK100,Shenzhen,KK100 Shenzhen ,22.542218,114.106514,2011,441.8 m,"1,449 ft",98,composite,hotel / office
Guangzhou International Finance Center,Guangzhou,Guangzhou International Finance Center Guangzhou ,23.1177169,113.3232779,2010,438.6 m,"1,439 ft",103,composite,hotel / office
One Vanderbilt,New York City,One Vanderbilt New York City ,40.7529967,-73.9784836,2020,427 m,"1,401 ft",59,composite,office
432 Park Avenue,New York City,432 Park Avenue New York City ,40.761648,-73.9717602,2015,425.7 m,"1,397 ft",85,concrete,residential
Marina 101,Dubai,Marina 101 Dubai ,25.0889075,55.1485697,2017,425 m,"1,394 ft",101,concrete,residential / hotel
Trump International Hotel & Tower,Chicago,Trump International Hotel & Tower Chicago ,41.888868,-87.626394,2009,423.2 m,"1,389 ft",98,concrete,residential / hotel
Jin Mao Tower,Shanghai,Jin Mao Tower Shanghai ,31.2352515,121.5057491,1999,420.5 m,"1,380 ft",88,composite,hotel / office
Princess Tower,Dubai,Princess Tower Dubai ,25.0887804,55.1468951,2012,413.4 m,"1,356 ft",101,steel/concrete,residential
Al Hamra Tower,Kuwait City,Al Hamra Tower Kuwait City ,29.3790539,47.9932879,2011,412.6 m,"1,354 ft",80,concrete,office
Two International Finance Centre,Hong Kong,Two International Finance Centre Hong Kong ,22.28588,114.158131,2003,412 m,"1,352 ft",88,composite,office
LCT The Sharp Landmark Tower,Busan,LCT The Sharp Landmark Tower Busan ,35.1610625,129.1684375,2019,411.6 m,"1,350 ft",101,concrete,hotel / residential
Guangxi China Resources Tower,Nanning,Guangxi China Resources Tower Nanning ,22.817002,108.366543,2020,402.7 m,"1,321 ft",86,composite,hotel / office
Guiyang International Financial Center T1,Guiyang,Guiyang International Financial Center T1 Guiyang ,26.647794,106.647407,2020,401 m,"1,316 ft",79,composite,hotel / office
China Resources Tower,Shenzhen,China Resources Tower Shenzhen ,22.5126787,113.9457475,2018,392.5 m,"1,288 ft",68,composite,office
23 Marina,Dubai,23 Marina Dubai ,25.0897173,55.1506471,2012,392.4 m,"1,287 ft",88,concrete,residential
CITIC Plaza,Guangzhou,CITIC Plaza Guangzhou ,23.1423581,113.3247658,1996,390.2 m,"1,280 ft",80,composite,office
Shum Yip Upperhills Tower 1,Shenzhen,Shum Yip Upperhills Tower 1 Shenzhen ,22.6433733,114.0232686,2020,388.1 m,"1,273 ft",80,composite,hotel / office
30 Hudson Yards,New York City,30 Hudson Yards New York City ,40.753576,-74.0032041,2019,387.1 m,"1,270 ft",73,steel,office
Shun Hing Square,Shenzhen,Shun Hing Square Shenzhen ,22.545278,114.105833,1996,384 m,"1,260 ft",69,composite,office
Eton Place Dalian Tower 1,Dalian,Eton Place Dalian Tower 1 Dalian ,38.9165077,121.6307827,2016,383.2 m,"1,257 ft",80,composite,hotel / office
Nanning Logan Century 1,Nanning,Nanning Logan Century 1 Nanning ,22.817002,108.366543,2018,381.3 m,"1,251 ft",82,composite,hotel / office
